crf	TP	FP	FN	total	precision	recall
10	108	268	291	376	0.2872340425531915	0.2706766917293233
12	108	268	291	376	0.2872340425531915	0.2706766917293233
14	108	263	291	371	0.29110512129380056	0.2706766917293233
16	109	252	290	361	0.30193905817174516	0.2731829573934837
18	108	255	291	363	0.2975206611570248	0.2706766917293233
20	106	245	293	351	0.301994301994302	0.2656641604010025
22	103	251	296	354	0.2909604519774011	0.2581453634085213
24	99	249	300	348	0.28448275862068967	0.24812030075187969
26	103	224	296	327	0.3149847094801223	0.2581453634085213
28	104	214	295	318	0.3270440251572327	0.2606516290726817
30	100	214	299	314	0.3184713375796178	0.2506265664160401
32	95	186	304	281	0.33807829181494664	0.23809523809523808
34	96	181	303	277	0.34657039711191334	0.24060150375939848
36	90	130	309	220	0.4090909090909091	0.22556390977443608
38	84	128	315	212	0.39622641509433965	0.21052631578947367
40	79	113	320	192	0.4114583333333333	0.19799498746867167
42	40	96	359	136	0.29411764705882354	0.10025062656641603
