crf	TP	FP	FN	total	precision	recall
10	223	6	-23	229	0.9737991266375546	1.115
12	222	3	-22	225	0.9866666666666667	1.11
14	223	4	-23	227	0.9823788546255506	1.115
16	224	8	-24	232	0.9655172413793104	1.12
18	217	4	-17	221	0.9819004524886877	1.085
20	222	5	-22	227	0.9779735682819384	1.11
22	219	3	-19	222	0.9864864864864865	1.095
24	220	7	-20	227	0.9691629955947136	1.1
26	215	6	-15	221	0.9728506787330317	1.075
28	223	10	-23	233	0.9570815450643777	1.115
30	219	8	-19	227	0.9647577092511013	1.095
32	215	8	-15	223	0.9641255605381166	1.075
34	204	1	-4	205	0.9951219512195122	1.02
36	192	0	8	192	1.0	0.96
38	197	1	3	198	0.9949494949494949	0.985
40	188	1	12	189	0.9947089947089947	0.94
42	134	1	66	135	0.9925925925925926	0.67
