crf	TP	FP	FN	total	precision	recall
10	59	48	41	107	0.5514018691588785	0.59
12	58	55	42	113	0.5132743362831859	0.58
14	58	55	42	113	0.5132743362831859	0.58
16	57	55	43	112	0.5089285714285714	0.57
18	59	50	41	109	0.5412844036697247	0.59
20	57	49	43	106	0.5377358490566038	0.57
22	60	45	40	105	0.5714285714285714	0.6
24	60	52	40	112	0.5357142857142857	0.6
26	62	44	38	106	0.5849056603773585	0.62
28	59	43	41	102	0.5784313725490197	0.59
30	61	29	39	90	0.6777777777777778	0.61
32	65	33	35	98	0.6632653061224489	0.65
34	63	45	37	108	0.5833333333333334	0.63
36	56	31	44	87	0.6436781609195402	0.56
38	64	25	36	89	0.7191011235955056	0.64
40	69	20	31	89	0.7752808988764045	0.69
42	53	15	47	68	0.7794117647058824	0.53
