crf	TP	FP	FN	total	precision	recall
10	75	35	25	110	0.6818181818181818	0.75
12	74	31	26	105	0.7047619047619048	0.74
14	77	33	23	110	0.7	0.77
16	76	34	24	110	0.6909090909090909	0.76
18	74	33	26	107	0.6915887850467289	0.74
20	77	31	23	108	0.7129629629629629	0.77
22	74	34	26	108	0.6851851851851852	0.74
24	77	33	23	110	0.7	0.77
26	72	34	28	106	0.6792452830188679	0.72
28	75	31	25	106	0.7075471698113207	0.75
30	75	24	25	99	0.7575757575757576	0.75
32	80	24	20	104	0.7692307692307693	0.8
34	78	27	22	105	0.7428571428571429	0.78
36	72	30	28	102	0.7058823529411765	0.72
38	80	15	20	95	0.8421052631578947	0.8
40	82	19	18	101	0.8118811881188119	0.82
42	81	15	19	96	0.84375	0.81
