crf	TP	FP	FN	total	precision	recall
10	536	385	564	921	0.5819761129207384	0.48727272727272725
12	538	379	562	917	0.5866957470010905	0.4890909090909091
14	540	379	560	919	0.5875952121871599	0.4909090909090909
16	554	356	546	910	0.6087912087912087	0.5036363636363637
18	531	369	569	900	0.59	0.4827272727272727
20	498	359	602	857	0.5810968494749125	0.4527272727272727
22	547	345	553	892	0.6132286995515696	0.49727272727272726
24	480	295	620	775	0.6193548387096774	0.43636363636363634
26	353	390	747	743	0.47510094212651416	0.3209090909090909
28	417	354	683	771	0.5408560311284046	0.3790909090909091
30	415	350	685	765	0.5424836601307189	0.37727272727272726
32	386	334	714	720	0.5361111111111111	0.3509090909090909
34	381	219	719	600	0.635	0.3463636363636364
36	335	222	765	557	0.6014362657091562	0.30454545454545456
38	336	103	764	439	0.765375854214123	0.3054545454545455
40	383	269	717	652	0.5874233128834356	0.3481818181818182
42	300	178	800	478	0.6276150627615062	0.2727272727272727
