crf	TP	FP	FN	total	precision	recall
10	454	433	646	887	0.5118376550169109	0.4127272727272727
12	450	396	650	846	0.5319148936170213	0.4090909090909091
14	406	404	694	810	0.5012345679012346	0.3690909090909091
16	424	443	676	867	0.48904267589388695	0.38545454545454544
18	413	451	687	864	0.47800925925925924	0.37545454545454543
20	442	442	658	884	0.5	0.4018181818181818
22	457	450	643	907	0.503858875413451	0.41545454545454547
24	452	432	648	884	0.5113122171945701	0.4109090909090909
26	356	383	744	739	0.4817320703653586	0.3236363636363636
28	355	377	745	732	0.4849726775956284	0.32272727272727275
30	387	329	713	716	0.5405027932960894	0.3518181818181818
32	379	356	721	735	0.5156462585034014	0.34454545454545454
34	392	302	708	694	0.5648414985590778	0.3563636363636364
36	304	289	796	593	0.5126475548060708	0.27636363636363637
38	362	264	738	626	0.5782747603833865	0.3290909090909091
40	320	174	780	494	0.6477732793522267	0.2909090909090909
42	300	277	800	577	0.5199306759098787	0.2727272727272727
