crf	TP	FP	FN	total	precision	recall
10	300	65	1236	365	0.821917808219178	0.1953125
12	297	73	1239	370	0.8027027027027027	0.193359375
14	300	67	1236	367	0.8174386920980926	0.1953125
16	302	67	1234	369	0.8184281842818428	0.19661458333333334
18	300	73	1236	373	0.8042895442359249	0.1953125
20	298	66	1238	364	0.8186813186813187	0.19401041666666666
22	300	34	1236	334	0.8982035928143712	0.1953125
24	300	66	1236	366	0.819672131147541	0.1953125
26	311	71	1225	382	0.8141361256544503	0.20247395833333334
28	304	72	1232	376	0.8085106382978723	0.19791666666666666
30	302	67	1234	369	0.8184281842818428	0.19661458333333334
32	296	61	1240	357	0.8291316526610645	0.19270833333333334
34	303	69	1233	372	0.8145161290322581	0.197265625
36	298	16	1238	314	0.9490445859872612	0.19401041666666666
38	273	41	1263	314	0.8694267515923567	0.177734375
40	201	11	1335	212	0.9481132075471698	0.130859375
42	310	70	1226	380	0.8157894736842105	0.20182291666666666
