crf	TP	FP	FN	total	precision	recall
10	323	62	1249	385	0.8389610389610389	0.205470737913486
12	321	66	1251	387	0.8294573643410853	0.20419847328244276
14	316	63	1256	379	0.8337730870712401	0.2010178117048346
16	318	63	1254	381	0.8346456692913385	0.20229007633587787
18	320	65	1252	385	0.8311688311688312	0.2035623409669211
20	315	70	1257	385	0.8181818181818182	0.20038167938931298
22	327	64	1245	391	0.8363171355498721	0.20801526717557253
24	316	63	1256	379	0.8337730870712401	0.2010178117048346
26	333	64	1239	397	0.8387909319899244	0.21183206106870228
28	329	71	1243	400	0.8225	0.20928753180661577
30	322	67	1250	389	0.8277634961439588	0.20483460559796438
32	301	86	1271	387	0.7777777777777778	0.19147582697201018
34	306	87	1266	393	0.7786259541984732	0.1946564885496183
36	299	66	1273	365	0.8191780821917808	0.19020356234096691
38	267	98	1305	365	0.7315068493150685	0.16984732824427481
40	317	159	1255	476	0.6659663865546218	0.20165394402035625
42	217	64	1355	281	0.7722419928825622	0.13804071246819338
