crf	TP	FP	FN	total	precision	recall
10	333	68	187	401	0.830423940149626	0.6403846153846153
12	338	64	182	402	0.8407960199004975	0.65
14	332	72	188	404	0.8217821782178217	0.6384615384615384
16	332	68	188	400	0.83	0.6384615384615384
18	329	66	191	395	0.8329113924050633	0.6326923076923077
20	333	63	187	396	0.8409090909090909	0.6403846153846153
22	321	62	199	383	0.8381201044386423	0.6173076923076923
24	319	71	201	390	0.8179487179487179	0.6134615384615385
26	329	75	191	404	0.8143564356435643	0.6326923076923077
28	328	65	192	393	0.8346055979643766	0.6307692307692307
30	319	58	201	377	0.8461538461538461	0.6134615384615385
32	292	51	228	343	0.8513119533527697	0.5615384615384615
34	228	47	292	275	0.8290909090909091	0.43846153846153846
36	231	38	289	269	0.8587360594795539	0.4442307692307692
38	180	35	340	215	0.8372093023255814	0.34615384615384615
40	165	25	355	190	0.868421052631579	0.3173076923076923
42	124	25	396	149	0.8322147651006712	0.23846153846153847
