crf	TP	FP	FN	total	precision	recall
10	6	523	777	529	0.011342155009451797	0.007662835249042145
12	5	528	778	533	0.009380863039399626	0.006385696040868455
14	5	521	778	526	0.009505703422053232	0.006385696040868455
16	5	515	778	520	0.009615384615384616	0.006385696040868455
18	4	517	779	521	0.007677543186180422	0.005108556832694764
20	5	518	778	523	0.009560229445506692	0.006385696040868455
22	3	515	780	518	0.005791505791505791	0.0038314176245210726
24	5	512	778	517	0.009671179883945842	0.006385696040868455
26	4	501	779	505	0.007920792079207921	0.005108556832694764
28	0	524	783	524	0.0	0.0
30	0	495	783	495	0.0	0.0
32	0	506	783	506	0.0	0.0
34	0	486	783	486	0.0	0.0
36	0	485	783	485	0.0	0.0
38	0	497	783	497	0.0	0.0
40	0	454	783	454	0.0	0.0
42	0	443	783	443	0.0	0.0
