crf	TP	FP	FN	total	precision	recall
10	19	242	306	261	0.07279693486590039	0.05846153846153846
12	21	234	304	255	0.08235294117647059	0.06461538461538462
14	21	237	304	258	0.08139534883720931	0.06461538461538462
16	18	233	307	251	0.07171314741035857	0.055384615384615386
18	17	230	308	247	0.06882591093117409	0.052307692307692305
20	18	223	307	241	0.07468879668049792	0.055384615384615386
22	18	220	307	238	0.07563025210084033	0.055384615384615386
24	21	218	304	239	0.08786610878661087	0.06461538461538462
26	22	212	303	234	0.09401709401709402	0.06769230769230769
28	14	214	311	228	0.06140350877192982	0.043076923076923075
30	17	212	308	229	0.07423580786026202	0.052307692307692305
32	19	201	306	220	0.08636363636363636	0.05846153846153846
34	26	187	299	213	0.12206572769953052	0.08
36	26	185	299	211	0.12322274881516587	0.08
38	25	199	300	224	0.11160714285714286	0.07692307692307693
40	21	176	304	197	0.1065989847715736	0.06461538461538462
42	25	169	300	194	0.12886597938144329	0.07692307692307693
