crf	TP	FP	FN	total	precision	recall
10	26	192	274	218	0.11926605504587157	0.08666666666666667
12	26	194	274	220	0.11818181818181818	0.08666666666666667
14	26	193	274	219	0.1187214611872146	0.08666666666666667
16	26	193	274	219	0.1187214611872146	0.08666666666666667
18	25	193	275	218	0.11467889908256881	0.08333333333333333
20	26	185	274	211	0.12322274881516587	0.08666666666666667
22	26	181	274	207	0.12560386473429952	0.08666666666666667
24	26	182	274	208	0.125	0.08666666666666667
26	26	179	274	205	0.12682926829268293	0.08666666666666667
28	25	180	275	205	0.12195121951219512	0.08333333333333333
30	27	180	273	207	0.13043478260869565	0.09
32	22	180	278	202	0.10891089108910891	0.07333333333333333
34	26	186	274	212	0.12264150943396226	0.08666666666666667
36	31	176	269	207	0.1497584541062802	0.10333333333333333
38	27	186	273	213	0.1267605633802817	0.09
40	31	159	269	190	0.1631578947368421	0.10333333333333333
42	39	160	261	199	0.19597989949748743	0.13
