crf	TP	FP	FN	total	precision	recall
10	7	1053	8928	1060	0.006603773584905661	0.0007834359261331841
12	6	1077	8929	1083	0.00554016620498615	0.0006715165081141578
14	5	1067	8930	1072	0.0046641791044776115	0.0005595970900951316
16	6	1087	8929	1093	0.0054894784995425435	0.0006715165081141578
18	7	1072	8928	1079	0.006487488415199258	0.0007834359261331841
20	5	1061	8930	1066	0.004690431519699813	0.0005595970900951316
22	5	1031	8930	1036	0.004826254826254826	0.0005595970900951316
24	7	1048	8928	1055	0.006635071090047393	0.0007834359261331841
26	3	967	8932	970	0.003092783505154639	0.0003357582540570789
28	6	960	8929	966	0.006211180124223602	0.0006715165081141578
30	5	916	8930	921	0.0054288816503800215	0.0005595970900951316
32	4	857	8931	861	0.004645760743321719	0.0004476776720761052
34	0	843	8935	843	0.0	0.0
36	3	736	8932	739	0.0040595399188092015	0.0003357582540570789
38	1	706	8934	707	0.0014144271570014145	0.0001119194180190263
40	5	603	8930	608	0.008223684210526315	0.0005595970900951316
42	0	535	8935	535	0.0	0.0
