crf	TP	FP	FN	total	precision	recall
10	6	969	8929	975	0.006153846153846154	0.0006715165081141578
12	7	972	8928	979	0.007150153217568948	0.0007834359261331841
14	7	977	8928	984	0.007113821138211382	0.0007834359261331841
16	5	976	8930	981	0.0050968399592252805	0.0005595970900951316
18	5	985	8930	990	0.005050505050505051	0.0005595970900951316
20	6	973	8929	979	0.006128702757916241	0.0006715165081141578
22	4	956	8931	960	0.004166666666666667	0.0004476776720761052
24	6	939	8929	945	0.006349206349206349	0.0006715165081141578
26	7	939	8928	946	0.007399577167019027	0.0007834359261331841
28	5	897	8930	902	0.005543237250554324	0.0005595970900951316
30	2	882	8933	884	0.0022624434389140274	0.0002238388360380526
32	5	824	8930	829	0.006031363088057901	0.0005595970900951316
34	2	810	8933	812	0.0024630541871921183	0.0002238388360380526
36	4	776	8931	780	0.005128205128205128	0.0004476776720761052
38	4	721	8931	725	0.005517241379310344	0.0004476776720761052
40	1	664	8934	665	0.0015037593984962407	0.0001119194180190263
42	1	536	8934	537	0.00186219739292365	0.0001119194180190263
