crf	TP	FP	FN	total	precision	recall
10	15	727	5861	742	0.02021563342318059	0.0025527569775357388
12	15	723	5861	738	0.02032520325203252	0.0025527569775357388
14	16	719	5860	735	0.021768707482993196	0.002722940776038121
16	15	729	5861	744	0.020161290322580645	0.0025527569775357388
18	16	718	5860	734	0.021798365122615803	0.002722940776038121
20	17	728	5859	745	0.022818791946308724	0.0028931245745405037
22	16	721	5860	737	0.021709633649932156	0.002722940776038121
24	16	706	5860	722	0.0221606648199446	0.002722940776038121
26	15	683	5861	698	0.02148997134670487	0.0025527569775357388
28	12	677	5864	689	0.01741654571843251	0.0020422055820285907
30	15	683	5861	698	0.02148997134670487	0.0025527569775357388
32	15	638	5861	653	0.022970903522205207	0.0025527569775357388
34	11	654	5865	665	0.016541353383458645	0.0018720217835262083
36	12	604	5864	616	0.01948051948051948	0.0020422055820285907
38	10	632	5866	642	0.01557632398753894	0.0017018379850238256
40	9	563	5867	572	0.015734265734265736	0.0015316541865214432
42	15	514	5861	529	0.02835538752362949	0.0025527569775357388
