crf	TP	FP	FN	total	precision	recall
10	9	601	5867	610	0.014754098360655738	0.0015316541865214432
12	10	606	5866	616	0.016233766233766232	0.0017018379850238256
14	9	618	5867	627	0.014354066985645933	0.0015316541865214432
16	9	615	5867	624	0.014423076923076924	0.0015316541865214432
18	9	608	5867	617	0.014586709886547812	0.0015316541865214432
20	9	617	5867	626	0.01437699680511182	0.0015316541865214432
22	10	622	5866	632	0.015822784810126583	0.0017018379850238256
24	10	596	5866	606	0.0165016501650165	0.0017018379850238256
26	10	616	5866	626	0.01597444089456869	0.0017018379850238256
28	9	594	5867	603	0.014925373134328358	0.0015316541865214432
30	10	617	5866	627	0.01594896331738437	0.0017018379850238256
32	9	593	5867	602	0.014950166112956811	0.0015316541865214432
34	11	598	5865	609	0.0180623973727422	0.0018720217835262083
36	12	571	5864	583	0.02058319039451115	0.0020422055820285907
38	8	561	5868	569	0.014059753954305799	0.0013614703880190605
40	17	590	5859	607	0.02800658978583196	0.0028931245745405037
42	5	477	5871	482	0.01037344398340249	0.0008509189925119128
